,enmo,n,mg,temp,batt,light
2026-08-31 00:24:00,0.0,1482,0.0,35.546875,4.125,194.91666666666666
2026-08-31 00:25:00,0.0,1503,0.0,35.498046875,4.125,195.0
2026-08-31 00:26:00,0.0,1480,0.0,35.52433894230769,4.125,195.0
2026-08-31 00:27:00,0.0,1482,0.0,35.498046875,4.125,195.08333333333334
2026-08-31 00:28:00,0.0,1503,0.0,35.38912259615385,4.125,195.0
2026-08-31 00:29:00,0.0001858924186706259,1482,0.1858924186706259,35.3515625,4.125,195.0
2026-08-31 00:30:00,0.0,1505,0.0,35.32151442307692,4.125,195.0
2026-08-31 00:31:00,0.0,1480,0.0,35.44921875,4.125,194.83333333333334
2026-08-31 00:32:00,0.00012809945106866103,1482,0.12809945106866102,35.43419471153846,4.125,194.69230769230768
2026-08-31 00:33:00,0.0,1503,0.0,35.302734375,4.125,194.75
2026-08-31 00:34:00,0.0,1482,0.0,35.4248046875,4.125,194.66666666666666
2026-08-31 00:35:00,0.0,1503,0.0,35.546875,4.125,194.92307692307693
2026-08-31 00:36:00,0.003229302937539795,1480,3.229302937539795,35.546875,4.125,194.83333333333334
2026-08-31 00:37:00,0.022955002383017578,1490,22.95500238301758,35.63701923076923,4.125,194.76923076923077
2026-08-31 00:38:00,0.03632354945531575,1493,36.32354945531575,35.6689453125,4.125,194.91666666666666
2026-08-31 00:39:00,6.912660140401261e-06,1480,0.006912660140401261,35.6689453125,4.125,195.0
2026-08-31 00:40:00,0.0,1503,0.0,35.68209134615385,4.125,194.92307692307693
2026-08-31 00:41:00,0.0,1480,0.0,35.83984375,4.125,194.91666666666666
2026-08-31 00:42:00,0.0,1503,0.0,35.8642578125,4.125,194.83333333333334
2026-08-31 00:43:00,0.0,1478,0.0,35.92998798076923,4.125,194.53846153846155
2026-08-31 00:44:00,0.0,1478,0.0,36.0595703125,4.125,194.66666666666666
2026-08-31 00:45:00,0.0,1503,0.0,36.1328125,4.125,194.69230769230768
2026-08-31 00:46:00,0.0,1476,0.0,36.1572265625,4.125,194.83333333333334
2026-08-31 00:47:00,0.0,1501,0.0,36.26802884615385,4.125,194.6153846153846
2026-08-31 00:48:00,0.0,1478,0.0,36.3525390625,4.125,194.66666666666666
2026-08-31 00:49:00,0.0,1503,0.0,36.42578125,4.125,194.58333333333334
2026-08-31 00:50:00,0.0,1476,0.0,36.42578125,4.125,194.76923076923077
2026-08-31 00:51:00,0.0,1501,0.0,36.42578125,4.125,194.66666666666666
2026-08-31 00:52:00,0.0,1476,0.0,36.51592548076923,4.125,194.46153846153845
2026-08-31 00:53:00,0.0007495024389794351,1503,0.7495024389794351,36.5966796875,4.125,194.66666666666666
2026-08-31 00:54:00,0.0020832767395840713,1476,2.0832767395840714,36.71875,4.125,194.75
2026-08-31 00:55:00,0.0047041173789535585,1499,4.704117378953558,36.69621394230769,4.125,194.53846153846155
2026-08-31 00:56:00,0.0,1478,0.0,36.71875,4.125,194.58333333333334
2026-08-31 00:57:00,0.0034964824611961485,1499,3.4964824611961487,36.71875,4.125,194.69230769230768
2026-08-31 00:58:00,0.010768133656350768,1478,10.768133656350768,36.474609375,4.125,194.75
2026-08-31 00:59:00,0.0,1478,0.0,36.42578125,4.125,194.92307692307693
2026-08-31 01:00:00,0.0,1499,0.0,36.4013671875,4.125,195.0
2026-08-31 01:01:00,0.0,1478,0.0,36.376953125,4.125,194.91666666666666
2026-08-31 01:02:00,0.0,1501,0.0,36.35817307692308,4.125,194.92307692307693
2026-08-31 01:03:00,0.0,1478,0.0,36.4013671875,4.125,194.75
2026-08-31 01:04:00,0.0,1503,0.0,36.4013671875,4.125,194.75
2026-08-31 01:05:00,0.0,1476,0.0,36.42578125,4.125,194.84615384615384
2026-08-31 01:06:00,0.0,1503,0.0,36.42578125,4.125,194.91666666666666
2026-08-31 01:07:00,0.0,1476,0.0,36.44831730769231,4.125,195.0
2026-08-31 01:08:00,0.0,1503,0.0,36.4990234375,4.125,194.91666666666666
2026-08-31 01:09:00,0.0,1476,0.0,36.474609375,4.125,194.66666666666666
2026-08-31 01:10:00,0.0,1501,0.0,36.49338942307692,4.125,194.92307692307693
2026-08-31 01:11:00,0.0,1478,0.0,36.572265625,4.125,194.83333333333334
2026-08-31 01:12:00,0.0,1499,0.0,36.69621394230769,4.125,194.92307692307693
